VD;VD_AP;VD_0S;VD_HAP;VD_0AP;VD_HS;CONT.PREC;OCORRENCIA;CONT.SEGUINTE;ITEM.LEXICAL;TRANSC.FONOLOGICA;CONT.FON.PREC;CFP_abertura;CFP_anterioridade;CFP_tracoposicao1;CFP_tracoposicao2;CONT.FON.SEG;CFS_pontoc;CFS_sonor;TONICIDADE;POSICAO.S;CLASSE.MORFOLOGICA;CLASSE.MORFOLOGICA2;CLASSE.MORFOLOGICA3;MORFEMA.PLURAL;MORFEMA.PLURAL2;MUDANCA.SENTIDO;ESTILO;ARQUIVO;ANO.ENTREVISTA;LOCALIZACAO;PERFIL;ESTADO;PARTICIPANTE;SEXO;IDADE;FAIXA.ETARIA;ESCOLARIDADE;ESCOLARIDADE2;OCUPACAO;INDICE.SOCIO;CLASSE.SOCIAL;CLASSE.SOCIAL.BC;CLASSE.SOCIAL.BCC;IDADE.MIGRACAO;IDADE.MIGRACAO2;TEMPO.SP;TEMPO.SP2;PROP.VIDA.SP;PROP.VIDA.SP2;CID.ORIGEM;CID.RESIDENCIA;MOTIVO;AMIGOS;VIZINHOS;COLEGAS.ESTADO;COLEGAS.NE;COMIDA;MUSICA;CONVERSA;VOLTA;ONDE.MORARIA;ESTADUALIDADE;PAULISTIDADE;NORDESTINIDADE;DIF.SP;DIF.NE;DIF.FALAR;IMOVEL;PROPRIEDADE;NQUARTOS;NBANHEIROS;NPESSOAS;NRENDA;RENDA.IND;RENDA.FAM;ESCOLA.PAI;OCUPACAO.PAI;ESCOLA.MAE;OCUPACAO.MAE;QUALIDADE.GRAV;NATURALIDADE.GRAV;PONTUACAO;DOCUMENTADOR;DURACAO;INDICE.REDE.EST;INDICE.REDE.NE;INDICE.HABITOS
A;A;S;AP;AP;S;na | S duas <A> semana;antes <A>;de/ de eu | S;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MA+_JoaquimS;2018;00:28:53.500;MA+;AL;JoaquimS;masculino;42;2a.3a;fund1;fund;Vendedor ambulante;1,29;E;baixa;baixa;16;19-;17;10+;40;de1a2quartos;NA;Indaiatuba;trabalho;nenhum;nao;nao;varios;nunca;nunca;nunca;nunca;estado.origem;10;5;10;0;0;8;casa;financiado;2;1;3;3;1a2SM;1a2SM;analfabeto;NC;analfabeto;Agricultora;2-ruidoalto;4;84;Marina Russo;01h27min21seg;2;4;2
0;NA;0;NA;0;S;ele pensava duas <0> vez <0>;antes <0>;de fazer porque | S;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MA+_JoaquimS;2018;00:29:01.989;MA+;AL;JoaquimS;masculino;42;2a.3a;fund1;fund;Vendedor ambulante;1,29;E;baixa;baixa;16;19-;17;10+;40;de1a2quartos;NA;Indaiatuba;trabalho;nenhum;nao;nao;varios;nunca;nunca;nunca;nunca;estado.origem;10;5;10;0;0;8;casa;financiado;2;1;3;3;1a2SM;1a2SM;analfabeto;NC;analfabeto;Agricultora;2-ruidoalto;4;84;Marina Russo;01h27min21seg;2;4;2
0;NA;0;NA;0;S;Holambra | S né? mas <A>;antes <0>;de chegar aqui a gente;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MA+_WalterN;2018;00:29:11.586;MA+;AL;WalterN;masculino;24;1a;medio;medio.superior;Garçom;2,25;C2;baixa;media;13;19-;12;10+;50;de1a2quartos;Girau do Ponciano;Holambra;trabalho;maioria;nao;nao;alguns;1xmes;nunca;todo.dia;nunca;SP;5;8;6;10;2;6;casa;alugado;2;1;4;3;1a2SM;2a4SM;NC;NC;NC;donadecasa;4-ruidobaixo;5;94;Andreza Parra;01h55min14seg;5;7;4
A;A;S;AP;AP;S;entendeu? | S só que aí;antes <A>;de eu ir pra lá;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MA+_WalterN;2018;00:29:20.110;MA+;AL;WalterN;masculino;24;1a;medio;medio.superior;Garçom;2,25;C2;baixa;media;13;19-;12;10+;50;de1a2quartos;Girau do Ponciano;Holambra;trabalho;maioria;nao;nao;alguns;1xmes;nunca;todo.dia;nunca;SP;5;8;6;10;2;6;casa;alugado;2;1;4;3;1a2SM;2a4SM;NC;NC;NC;donadecasa;4-ruidobaixo;5;94;Andreza Parra;01h55min14seg;5;7;4
A;A;S;AP;AP;S;emprego | S aí eu ahn;antes <A>;de eu ir lá eu;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MA+_WalterN;2018;00:29:20.110;MA+;AL;WalterN;masculino;24;1a;medio;medio.superior;Garçom;2,25;C2;baixa;media;13;19-;12;10+;50;de1a2quartos;Girau do Ponciano;Holambra;trabalho;maioria;nao;nao;alguns;1xmes;nunca;todo.dia;nunca;SP;5;8;6;10;2;6;casa;alugado;2;1;4;3;1a2SM;2a4SM;NC;NC;NC;donadecasa;4-ruidobaixo;5;94;Andreza Parra;01h55min14seg;5;7;4
A;A;S;AP;AP;S;"""estou indo pra lá"" | S";antes <A>;quando eu disse que vinha;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;k;dorsal.labial;surda;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MB-_ArthurG;2018;00:29:27.259;MB-;AL;ArthurG;masculino;36;2a.3a;medio;medio.superior;Serviços gerais em um restaurante;2,88;C1;media;media;36;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;alguns;nao;nao;nunca;sempre;nunca;nunca;estado.origem;10;1;10;2;5;7;casa;alugado;3+;3+;1;1;10a20SM;10a20SM;analfabeto;agricultor;analfabeto;agricultora;3-ruidomedio;3;81;Marina Russo;00h42min15seg;5;5;4
A;A;S;AP;AP;S;ser pequena agora está <E> tendo;antes <A>;não tinha mas <A> agora;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;n;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2017FB-_JoelmaM;2017;00:29:28.795;FB-;PB;JoelmaM;feminino;33;1a;medio;medio.superior;Auxiliar de Produção;3;C1;media;media;33;20+;0;9-;0;ate1quarto;Soledade;Paulinia;trabalho;nenhum;alguns;alguns;varios;1xmes;nunca;todo.dia;1xano;estado.origem;10;2;10;10;10;10;casa;alugado;3+;3+;4;3;2a4SM;2a4SM;NC;Aposentada;NC;Aposentado;5-ruidopouco;5;97;Fernanda Guirelli;00h44min46seg;6;9;8
0;NA;0;NA;0;S;entendeu acabou tudo | S ah;antes <0>;tinha o bosquinho <A> |;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;t;coronal;surda;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:29:35.543;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;fui trabalhar numa casa | S;antes <A>;dela nascer | S eles;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:29:59.531;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;D1 aham | S mas <A>;antes <A>;| S eu não eu;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;#;#;#;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FA+_AmandaP;2018;00:30:01.597;FA+;PB;AmandaP;feminino;38;2a.3a;medio;medio.superior;Porteira;2;D;baixa;baixa;11;19-;27;10+;71;maismetade;Soledade;Paulinia;familia;nenhum;nao;nao;alguns;tododia;sempre;1xmes;nunca;outro;9;2;9;8;2;7;casa;proprio;2;1;3;2;1a2SM;4a10SM;analfabeto;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;96;Fernanda Guirelli;00h49min48seg;6;6;6
0;NA;0;NA;0;S;| S agora não mas <A>;antes <0>;tinha bastante <A> emprego |;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;t;coronal;surda;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FB-_LucianaB;2018;00:30:05.724;FB-;PB;LucianaB;feminino;27;1a;superior;medio.superior;Operadora de caixa;2,38;C2;baixa;media;22;20+;6;9-;22;ate1quarto;Sousa;Campinas;familia;maioria;nao;varios;nao;1xmes;sempre;todo.dia;nunca;outro;10;8;10;7;6;10;casa;proprio;1;1;3;2;1a2SM;1a2SM;analfabeto;Agricultor;analfabeto;Agricultora;5-ruidopouco;5;95;Marina Russo;01h00min39seg;11;11;6
A;A;S;AP;AP;S;na nossa porta entendeu | S;antes <A>;não era aquela rua de;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;n;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FB-_RosemaraA;2018;00:30:07.446;FB-;PB;RosemaraA;feminino;35;2a.3a;medio;medio.superior;Diarista;1,92;D;baixa;baixa;30;20+;5;9-;14;ate1quarto;Soledade;Paulinia;trabalho;poucos;nao;nao;alguns;tododia;as.vezes;todo.dia;1xano;estado.origem;10;7;10;5;0;10;casa;alugado;3+;1;2;2;1a2SM;2a4SM;fund1;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;01h13min12seg;6;6;11
A;A;S;AP;AP;S;de {R.} lá era terra barro;antes <A>;passava aqui na lagoa |;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;p;dorsal.labial;surda;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FB-_RosemaraA;2018;00:30:18.787;FB-;PB;RosemaraA;feminino;35;2a.3a;medio;medio.superior;Diarista;1,92;D;baixa;baixa;30;20+;5;9-;14;ate1quarto;Soledade;Paulinia;trabalho;poucos;nao;nao;alguns;tododia;as.vezes;todo.dia;1xano;estado.origem;10;7;10;5;0;10;casa;alugado;3+;1;2;2;1a2SM;2a4SM;fund1;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;01h13min12seg;6;6;11
A;A;S;AP;AP;S;dele daquela pessoa | S e;antes <A>;mesmo <A> que as <A>;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FB-_RosemaraA;2018;00:30:18.787;FB-;PB;RosemaraA;feminino;35;2a.3a;medio;medio.superior;Diarista;1,92;D;baixa;baixa;30;20+;5;9-;14;ate1quarto;Soledade;Paulinia;trabalho;poucos;nao;nao;alguns;tododia;as.vezes;todo.dia;1xano;estado.origem;10;7;10;5;0;10;casa;alugado;3+;1;2;2;1a2SM;2a4SM;fund1;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;01h13min12seg;6;6;11
A;A;S;AP;AP;S;filho mais <P> tarde tudo isso;antes <A>;não | D1 antes não;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;n;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018FB-_RosemaraA;2018;00:30:24.104;FB-;PB;RosemaraA;feminino;35;2a.3a;medio;medio.superior;Diarista;1,92;D;baixa;baixa;30;20+;5;9-;14;ate1quarto;Soledade;Paulinia;trabalho;poucos;nao;nao;alguns;tododia;as.vezes;todo.dia;1xano;estado.origem;10;7;10;5;0;10;casa;alugado;3+;1;2;2;1a2SM;2a4SM;fund1;Aposentado;analfabeto;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;01h13min12seg;6;6;11
0;NA;0;NA;0;S;| D1 não tem? | S;(antes <0>;do que nem aqui não);antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;adverbio;adverbio;lexical;nao;nao;nao;conversa;PBCP_2018MB+_ClaudineiP;2018;00:30:26.789;MB+;PB;ClaudineiP;masculino;33;1a;fund2;fund;Carpinteiro;2;D;baixa;baixa;23;20+;10;10+;30;de1a2quartos;Nova Holinda;Campinas;trabalho;poucos;alguns;alguns;varios;nunca;sempre;todo.dia;nunca;outro;10;5;10;5;8;10;casa;alugado;2;1;2;2;1SM;1SM;NC;Agricultor-Aposentado;NC;Merendeira-Aposentada;4-ruidobaixo;5;68;Fernanda Guirelli;00h38min49seg;9;9;5
A;A;S;AP;AP;S;| S uhn eh | S;antes <A>;disso eu trabalhava numa metalúrgica;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;locucaoprep;adverbio;lexical;nao;nao;nao;conversa;ALCP_2016MA+_JefersonL;2018;00:30:37.650;MA+;AL;JefersonL;masculino;32;1a;fund1;fund;Construtor-pedreiro;1,47;E;baixa;baixa;15;19-;17;10+;53;maismetade;Coité do Noia;Sumare;trabalho;nenhum;nao;nao;varios;1xsemana;sempre;1xsemana;nunca;outro;10;5;10;9;7;10;casa;alugado;2;1;4;2;1a2SM;1a2SM;analfabeto;Agricultor;fund1;Doméstica;NA;NA;NA;Livia Oushiro (2018)/Lucas Eberle (2016);00h31min46seg;2;2;6
P;P;S;AP;AP;S;<0> dizer isso | S se;antes <P>;de da gente conversar só;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;locucaoprep;adverbio;lexical;nao;nao;nao;conversa;ALCP_2018MB-_ArthurG;2018;00:30:51.292;MB-;AL;ArthurG;masculino;36;2a.3a;medio;medio.superior;Serviços gerais em um restaurante;2,88;C1;media;media;36;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;alguns;nao;nao;nunca;sempre;nunca;nunca;estado.origem;10;1;10;2;5;7;casa;alugado;3+;3+;1;1;10a20SM;10a20SM;analfabeto;agricultor;analfabeto;agricultora;3-ruidomedio;3;81;Marina Russo;00h42min15seg;5;5;4
A;A;S;AP;AP;S;antes <A> eu tinha essa impressão;antes <A>;de mo/ vim pra São;antes;'A-te$;e;meia.fechada;anterior;mais.anterior;menos.posterior;d;coronal;sonora;atona;final;locucaoprep;adverbio;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:31:00.707;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;o meus <A> amigo mais <A>;antigos <A>;po/ é pra falar o;antigos;A-'ti-go$;o;meia.fechada;posterior;menos.anterior;mais.posterior;p;dorsal.labial;surda;atona;final;adjetivo;adjetivo;lexical;sim;sim;nao;conversa;PBCP_2018FA-_ValentinaM;2018;00:31:04.714;FA-;PB;ValentinaM;feminino;19;1a;medio;medio.superior;Dona de casa;1,5;E;baixa;baixa;15;19-;5;9-;26;de1a2quartos;João Pessoa;Campinas;familia;maioria;nao;NA;NA;1xmes;sempre;todo.dia;1xano;SP;10;5;0;10;7;10;casa;alugado;1;1;5;1;1SM;1SM;NC;NC;NC;NC;2-ruidoalto;3;81;Marina Russo;00h41min55seg;4;6;8
A;A;S;AP;AP;S;lá? | S ah os <A>;antigos <A>;| S é de lá;antigos;A-'ti-go$;o;meia.fechada;posterior;menos.anterior;mais.posterior;#;#;#;atona;final;substantivo;substantivo;lexical;sim;sim;nao;conversa;ALCP_2017FA+_AdrieleS;2017;00:31:04.714;FA+;AL;AdrieleS;feminino;38;2a.3a;fund1;fund;desempregada;1,5;E;baixa;baixa;18;19-;21;10+;55;maismetade;São José da Lage;Campinas;familia;metade;nao;alguns;varios;1xmes;sempre;1xsemana;nunca;estado.origem;10;1;9;10;8;10;casa;proprio;3+;2;5;1;NC;NC;NC;comerciante;NC;comerciante;3-ruidomedio;5;88;Fernanda Guirelli;01h03min45seg;5;7;7
A;A;S;AP;AP;S;S lá você não tinha acesso;aos <A>;tanto ao celular como você;aos;'a-o$;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;final;ArtigoDef;artigo;gramatical;sim;sim;nao;conversa;ALCP_2018FB-_YasminS;2018;00:31:10.366;FB-;AL;YasminS;feminino;35;2a.3a;medio;medio.superior;faz bico de caixa de restaurante aos fins de semana;2,59;C1;media;media;33;20+;1;9-;3;ate1quarto;Arapiraca;Campinas;trabalho;poucos;nao;nao;alguns;tododia;as.vezes;1xmes;nunca;SP;8;6;10;7;6;5;casa;proprio;2;1;3;2;1a2SM;1a2SM;fund1;frentista;fund1;auxiliardecozinha;3-ruidomedio;5;93;Fernanda Guirelli;01h20min10seg;6;7;5
A;A;S;AP;AP;S;<P> tinha que reconhecer um policial;aos <A>;pouco mas <0> reconheço um;aos;'a-o$;o;meia.fechada;posterior;menos.anterior;mais.posterior;p;dorsal.labial;surda;atona;final;ArtigoDef;artigo;gramatical;sim;sim;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:31:15.924;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;<0> eu estou <E> me adaptando;aos <A>;poucos <A> né eu estou;aos;'a-o$;o;meia.fechada;posterior;menos.anterior;mais.posterior;p;dorsal.labial;surda;atona;final;ArtigoDef;artigo;gramatical;sim;sim;nao;conversa;PBCP_2017FB-_JoelmaM;2017;00:31:20.566;FB-;PB;JoelmaM;feminino;33;1a;medio;medio.superior;Auxiliar de Produção;3;C1;media;media;33;20+;0;9-;0;ate1quarto;Soledade;Paulinia;trabalho;nenhum;alguns;alguns;varios;1xmes;nunca;todo.dia;1xano;estado.origem;10;2;10;10;10;10;casa;alugado;3+;3+;4;3;2a4SM;2a4SM;NC;Aposentada;NC;Aposentado;5-ruidopouco;5;97;Fernanda Guirelli;00h44min46seg;6;9;8
A;A;S;AP;AP;S;que a gente saía juntas <A>;aos <A>;quinze anos <A> | D1;aos;'a-o$;o;meia.fechada;posterior;menos.anterior;mais.posterior;k;dorsal.labial;surda;atona;final;ArtigoDef;artigo;gramatical;sim;sim;nao;conversa;PBCP_2018FA+_RitaS;2018;00:31:22.399;FA+;PB;RitaS;feminino;40;2a.3a;medio;medio.superior;Administradora (trabalha em casa);2,25;C2;baixa;media;9;19-;29;10+;73;maismetade;Soledade;Paulinia;familia;metade;nao;nao;nao;1xsemana;sempre;1xsemana;nunca;outro;7;7;7;10;8;6;casa;proprio;3+;2;2;1;1a2SM;1a2SM;NC;Aposentado;NC;Donadecasa;5-ruidopouco;5;94;Fernanda Guirelli;00h48min47seg;6;6;6
P;P;S;AP;AP;S;que vinha aí o pessoal ficava;apostando <P>;"disse"" | S (""quinze dias"")";apostando;a-po$-'tA-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;hsim;conversa;ALCP_2018MB-_ArthurG;2018;00:31:24.745;MB-;AL;ArthurG;masculino;36;2a.3a;medio;medio.superior;Serviços gerais em um restaurante;2,88;C1;media;media;36;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;alguns;nao;nao;nunca;sempre;nunca;nunca;estado.origem;10;1;10;2;5;7;casa;alugado;3+;3+;1;1;10a20SM;10a20SM;analfabeto;agricultor;analfabeto;agricultora;3-ruidomedio;3;81;Marina Russo;00h42min15seg;5;5;4
A;A;S;AP;AP;S;assim sabe aqueles <A> | S;aquelas <A>;velha antiga | D1 uhum;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;v;dorsal.labial;sonora;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2017FB-_JosileideS;2017;00:31:28.149;FB-;AL;JosileideS;feminino;33;1a;fund1;fund;auxiliar-cozinha;1,1;E;baixa;baixa;31;20+;1;9-;0;ate1quarto;Taquarana;Campinas;trabalho;maioria;nao;nao;alguns;tododia;as.vezes;1xmes;nunca;estado.origem;10;0;10;10;5;10;casa;alugado;2;1;4;2;1SM;1a2SM;analfabeto;agricultor;analfabeto;agricultora;2-ruidoalto;5;73;Fernanda Guirelli;01h24min24seg;5;7;7
A;A;S;AP;AP;S;S (xxx) sempre a (pessoa vê;aquelas <A>;) | S aquelas <A>;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;#;#;#;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2017MA-_DanielS;2017;00:31:29.347;MA-;AL;DanielS;masculino;19;1a;fund2;fund;Garçom;2,67;C1;media;media;18;19-;1;9-;5;ate1quarto;Girau do Ponciano;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;estado.origem;10;2;10;9;0;10;casa;NC;NC;NC;6+;5;2a4SM;20+SM;NC;NC;NC;NC;3-ruidomedio;3;88;Fernanda Guirelli;00h32min32seg;13;13;12
A;A;S;AP;AP;S;vê aquelas <A> ) | S;aquelas <A>;pessoas <A> | S quando;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;p;dorsal.labial;surda;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2017MA-_DanielS;2017;00:31:30.570;MA-;AL;DanielS;masculino;19;1a;fund2;fund;Garçom;2,67;C1;media;media;18;19-;1;9-;5;ate1quarto;Girau do Ponciano;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;estado.origem;10;2;10;9;0;10;casa;NC;NC;NC;6+;5;2a4SM;20+SM;NC;NC;NC;NC;3-ruidomedio;3;88;Fernanda Guirelli;00h32min32seg;13;13;12
A;A;S;AP;AP;S;levantava (bandeira) | S aí fazia;aquelas <A>;| S um negócio lá;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;#;#;#;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2018FA+_LuciaI;2018;00:31:36.400;FA+;AL;LuciaI;feminino;44;2a.3a;fund2;fund;cabelereira-donadecasa;1,87;D;baixa;baixa;14;19-;30;10+;68;maismetade;Canapi;Campinas;trabalho;nenhum;nao;nao;varios;1xsemana;nunca;nunca;nunca;outro;9;9;8;9;4;8;casa;proprio;3+;2;4;2;1SM;1SM;NC;agricultor;NC;agricultora;4-ruidobaixo;5;91;Livia Oushiro;01h03min12seg;2;2;2
A;A;S;AP;AP;S;época que vem só | S;aquelas <A>;pessoa da de | S;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;p;dorsal.labial;surda;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2018FB+_IsabelaS;2018;00:32:13.797;FB+;AL;IsabelaS;feminino;60;2a.3a;fund1;fund;Auxiliar de cozinha;1,63;D;baixa;baixa;45;20+;15;10+;25;ate1quarto;Coité do Noia;Vinhedo;trabalho;poucos;nao;alguns;varios;tododia;sempre;1xmes;nunca;outro;10;0;10;10;10;10;casa;alugado;1;1;2;2;1SM;1SM;NC;Agricultor-Falecido;NC;Agricultora-aposentada;3-ruidomedio;4;87;Fernanda Guirelli;00h49min14seg;7;8;6
A;A;S;AP;AP;S;diferente | D1 uhum | S;aquelas <A>;coisa também é um (meio;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;k;dorsal.labial;surda;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:32:37.314;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;com leite | S então seria;aquelas <A>;comidas <A> ali bem típica;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;k;dorsal.labial;surda;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2018MA+_JoaquimS;2018;00:32:39.957;MA+;AL;JoaquimS;masculino;42;2a.3a;fund1;fund;Vendedor ambulante;1,29;E;baixa;baixa;16;19-;17;10+;40;de1a2quartos;NA;Indaiatuba;trabalho;nenhum;nao;nao;varios;nunca;nunca;nunca;nunca;estado.origem;10;5;10;0;0;8;casa;financiado;2;1;3;3;1a2SM;1a2SM;analfabeto;NC;analfabeto;Agricultora;2-ruidoalto;4;84;Marina Russo;01h27min21seg;2;4;2
A;A;S;AP;AP;S;não não sou muito de curtir;aquelas <A>;banda (xxx) | D1 ah;aquelas;a-'ke-la$;a;aberta;central;menos.anterior;menos.posterior;b;dorsal.labial;sonora;atona;final;pronomedemons;pronome;gramatical;sim;sim;nao;conversa;ALCP_2018MB-_RicardoR;2018;00:32:45.882;MB-;AL;RicardoR;masculino;27;1a;fund2;fund;Balconista de bar;1,92;D;baixa;baixa;23;20+;0;9-;0;ate1quarto;Arapiraca;Holambra;trabalho;maioria;varios;varios;nao;nunca;sempre;1xmes;1xano;estado.origem;9;3;10;10;8;10;outro;alugado;2;1;2;1;1a2SM;1a2SM;analfabeto;NC;analfabeto;agricultora;2-ruidoalto;5;94;Marina Russo;00h48min14seg;8;10;7
